question_1,question_2,domain_1,domain_2,correlation,absolute_correlation,sign,paired_n
S02,S09,Society/Ethics,Society/Ethics,0.3596370099721002,0.3596370099721002,positive,85
V02,V11,Environment,Environment,0.35896664051958466,0.35896664051958466,positive,83
S04,S09,Society/Ethics,Society/Ethics,0.3589234005278961,0.3589234005278961,positive,85
E15,S11,Education,Society/Ethics,0.3582006769191178,0.3582006769191178,positive,87
S04,V05,Society/Ethics,Environment,0.3575341947984626,0.3575341947984626,positive,86
V04,V13,Environment,Environment,0.3561601200684794,0.3561601200684794,positive,85
S03,S12,Society/Ethics,Society/Ethics,0.35558288518253545,0.35558288518253545,positive,86
S06,V13,Society/Ethics,Environment,0.35543725517987823,0.35543725517987823,positive,85
S11,V15,Society/Ethics,Environment,0.355305479257628,0.355305479257628,positive,85
S06,V12,Society/Ethics,Environment,0.3550423801047298,0.3550423801047298,positive,84
E12,V15,Education,Environment,0.35453952827943175,0.35453952827943175,positive,85
S13,V04,Society/Ethics,Environment,0.35452797063714986,0.35452797063714986,positive,86
T06,E14,Technology,Education,0.35355172631971227,0.35355172631971227,positive,87
S11,V08,Society/Ethics,Environment,0.3534431343391325,0.3534431343391325,positive,85
T11,T12,Technology,Technology,0.3533831770501918,0.3533831770501918,positive,88
E11,E12,Education,Education,0.35330413210052203,0.35330413210052203,positive,87
E10,S14,Education,Society/Ethics,0.3530210910654179,0.3530210910654179,positive,84
V06,V10,Environment,Environment,0.35245530262196334,0.35245530262196334,positive,84
T11,S05,Technology,Society/Ethics,0.35213062316318977,0.35213062316318977,positive,85
S11,S13,Society/Ethics,Society/Ethics,0.35150470961051944,0.35150470961051944,positive,87
S06,V04,Society/Ethics,Environment,0.3498528887471437,0.3498528887471437,positive,86
V09,V10,Environment,Environment,0.3493007602447998,0.3493007602447998,positive,85
E10,V15,Education,Environment,0.34893684652491386,0.34893684652491386,positive,85
S12,S14,Society/Ethics,Society/Ethics,0.3485149587018093,0.3485149587018093,positive,84
S02,S06,Society/Ethics,Society/Ethics,0.34837598371438544,0.34837598371438544,positive,87
E14,S11,Education,Society/Ethics,0.3481435756000787,0.3481435756000787,positive,87
E12,V03,Education,Environment,0.34692611528240114,0.34692611528240114,positive,86
E03,E11,Education,Education,-0.3460686989963359,0.3460686989963359,negative,87
E07,V14,Education,Environment,0.34496523190249523,0.34496523190249523,positive,85
V02,V12,Environment,Environment,0.3443922403504009,0.3443922403504009,positive,83
S07,V15,Society/Ethics,Environment,0.344362918632944,0.344362918632944,positive,84
S07,V01,Society/Ethics,Environment,0.34386480976205264,0.34386480976205264,positive,84
S07,S11,Society/Ethics,Society/Ethics,0.34330080967861,0.34330080967861,positive,86
E07,S14,Education,Society/Ethics,0.3432135132768936,0.3432135132768936,positive,84
S06,V05,Society/Ethics,Environment,0.34305399775783124,0.34305399775783124,positive,86
E08,V09,Education,Environment,0.34296055365412437,0.34296055365412437,positive,83
S07,V05,Society/Ethics,Environment,0.34275207440395405,0.34275207440395405,positive,85
E10,V14,Education,Environment,0.3426060606060606,0.3426060606060606,positive,85
S14,V06,Society/Ethics,Environment,0.33999587587611774,0.33999587587611774,positive,81
T13,V07,Technology,Environment,0.3393776774200173,0.3393776774200173,positive,83
S12,V15,Society/Ethics,Environment,0.33893873087181026,0.33893873087181026,positive,84
V10,V11,Environment,Environment,0.33850997249006676,0.33850997249006676,positive,84
S03,V01,Society/Ethics,Environment,0.33825980418653084,0.33825980418653084,positive,85
E11,V10,Education,Environment,0.33714003357758976,0.33714003357758976,positive,85
E07,V12,Education,Environment,0.3369223764824932,0.3369223764824932,positive,84
S03,V11,Society/Ethics,Environment,0.33666311514890596,0.33666311514890596,positive,84
S06,V09,Society/Ethics,Environment,0.33660528941135576,0.33660528941135576,positive,85
T13,V08,Technology,Environment,0.3363950186951812,0.3363950186951812,positive,83
S11,S14,Society/Ethics,Society/Ethics,0.33598285312985,0.33598285312985,positive,84
S01,S09,Society/Ethics,Society/Ethics,0.3355437041447918,0.3355437041447918,positive,85
V08,V09,Environment,Environment,0.33539876046630973,0.33539876046630973,positive,85
V05,V10,Environment,Environment,0.33475730115534413,0.33475730115534413,positive,85
T05,S11,Technology,Society/Ethics,0.3347194992213716,0.3347194992213716,positive,87
V04,V12,Environment,Environment,0.334698753688958,0.334698753688958,positive,84
E05,E10,Education,Education,0.33457002846974887,0.33457002846974887,positive,85
S13,V12,Society/Ethics,Environment,0.334352478944701,0.334352478944701,positive,84
S10,V04,Society/Ethics,Environment,0.3334982578842387,0.3334982578842387,positive,83
S07,V07,Society/Ethics,Environment,0.3334564211141613,0.3334564211141613,positive,84
T03,E04,Technology,Education,-0.33296361123039614,0.33296361123039614,negative,85
S14,V03,Society/Ethics,Environment,0.3328789946399438,0.3328789946399438,positive,83
S02,S03,Society/Ethics,Society/Ethics,0.3321241331432066,0.3321241331432066,positive,87
V02,V10,Environment,Environment,0.3319462349040132,0.3319462349040132,positive,84
E11,V02,Education,Environment,0.33191501096838116,0.33191501096838116,positive,85
T12,S14,Technology,Society/Ethics,0.33139477967420716,0.33139477967420716,positive,83
E15,V14,Education,Environment,0.3311365732329813,0.3311365732329813,positive,85
S14,V05,Society/Ethics,Environment,0.3309703985674399,0.3309703985674399,positive,83
S04,V15,Society/Ethics,Environment,0.33040844313580214,0.33040844313580214,positive,85
V04,V14,Environment,Environment,0.3301134385970498,0.3301134385970498,positive,85
V06,V13,Environment,Environment,0.3299497288028491,0.3299497288028491,positive,84
E11,V15,Education,Environment,0.3292587882187317,0.3292587882187317,positive,85
V03,V06,Environment,Environment,0.329200209644266,0.329200209644266,positive,84
T15,S15,Technology,Society/Ethics,0.3291419727190526,0.3291419727190526,positive,85
V04,V11,Environment,Environment,0.3290836358517426,0.3290836358517426,positive,84
S13,V15,Society/Ethics,Environment,0.32901746928045916,0.32901746928045916,positive,85
T10,T11,Technology,Technology,0.3289672904875614,0.3289672904875614,positive,89
T13,V10,Technology,Environment,0.3288378177091586,0.3288378177091586,positive,83
V05,V13,Environment,Environment,0.3286706799490538,0.3286706799490538,positive,85
E10,S13,Education,Society/Ethics,0.3286456906046157,0.3286456906046157,positive,87
S12,S15,Society/Ethics,Society/Ethics,0.32845789467433073,0.32845789467433073,positive,85
V03,V05,Environment,Environment,0.3283885139809677,0.3283885139809677,positive,86
S06,S15,Society/Ethics,Society/Ethics,0.3283333096442962,0.3283333096442962,positive,86
V06,V11,Environment,Environment,0.3282012099568796,0.3282012099568796,positive,83
S01,S12,Society/Ethics,Society/Ethics,0.32795865283054343,0.32795865283054343,positive,85
E01,E02,Education,Education,-0.32767885072110375,0.32767885072110375,negative,87
V11,V12,Environment,Environment,0.3276441537626673,0.3276441537626673,positive,83
E01,E09,Education,Education,0.327605076299488,0.327605076299488,positive,86
E11,V08,Education,Environment,0.3271267878791411,0.3271267878791411,positive,85
V05,V14,Environment,Environment,0.327047762860389,0.327047762860389,positive,85
V01,V04,Environment,Environment,0.32637927359609753,0.32637927359609753,positive,85
S07,V06,Society/Ethics,Environment,0.3260205114730689,0.3260205114730689,positive,83
E09,S02,Education,Society/Ethics,0.3250964999375382,0.3250964999375382,positive,86
E01,E05,Education,Education,0.3242248528052163,0.3242248528052163,positive,85
E12,S13,Education,Society/Ethics,0.32392753573198757,0.32392753573198757,positive,87
V08,V11,Environment,Environment,0.3232254172669236,0.3232254172669236,positive,84
E05,V07,Education,Environment,0.32307251171881435,0.32307251171881435,positive,83
E08,V02,Education,Environment,0.3229155186869585,0.3229155186869585,positive,83
E15,V12,Education,Environment,0.3219564959250609,0.3219564959250609,positive,84
S15,V04,Society/Ethics,Environment,0.32194951977932196,0.32194951977932196,positive,85
E07,E11,Education,Education,0.32142417773497395,0.32142417773497395,positive,87
V03,V09,Environment,Environment,0.32078992699899544,0.32078992699899544,positive,85
S06,S11,Society/Ethics,Society/Ethics,0.32021839632886395,0.32021839632886395,positive,87
T11,V13,Technology,Environment,0.32010984355489003,0.32010984355489003,positive,83
V09,V12,Environment,Environment,0.31996097651940925,0.31996097651940925,positive,84
S11,S12,Society/Ethics,Society/Ethics,0.3193774123375791,0.3193774123375791,positive,86
E10,S09,Education,Society/Ethics,0.31882777137358187,0.31882777137358187,positive,85
S03,S15,Society/Ethics,Society/Ethics,0.3187736653764935,0.3187736653764935,positive,86
T11,S13,Technology,Society/Ethics,0.31869147864127567,0.31869147864127567,positive,85
V14,V15,Environment,Environment,0.3181152420536824,0.3181152420536824,positive,85
E11,E14,Education,Education,0.31790277582825155,0.31790277582825155,positive,87
S06,V02,Society/Ethics,Environment,0.31749683462427347,0.31749683462427347,positive,85
S02,S13,Society/Ethics,Society/Ethics,0.3171076451454187,0.3171076451454187,positive,87
E07,E09,Education,Education,0.31654689870193387,0.31654689870193387,positive,86
T03,V09,Technology,Environment,0.3165034522208454,0.3165034522208454,positive,83
E15,S15,Education,Society/Ethics,0.31636212590975615,0.31636212590975615,positive,86
T03,E11,Technology,Education,0.3147776266862019,0.3147776266862019,positive,85
V03,V08,Environment,Environment,0.3143841992559993,0.3143841992559993,positive,85
S12,V07,Society/Ethics,Environment,0.31363206461593574,0.31363206461593574,positive,84
S09,V06,Society/Ethics,Environment,0.3135949776639342,0.3135949776639342,positive,82
T11,V11,Technology,Environment,0.31333553834162203,0.31333553834162203,positive,82
T14,E03,Technology,Education,-0.3131195235354679,0.3131195235354679,negative,86
V02,V08,Environment,Environment,0.31305659248298695,0.31305659248298695,positive,84
S09,V15,Society/Ethics,Environment,0.3129491248760835,0.3129491248760835,positive,83
T11,S12,Technology,Society/Ethics,0.31279107037820353,0.31279107037820353,positive,84
T11,V15,Technology,Environment,0.3126513106023383,0.3126513106023383,positive,83
S05,V13,Society/Ethics,Environment,0.3117425029611914,0.3117425029611914,positive,85
S11,V09,Society/Ethics,Environment,0.3116185156485092,0.3116185156485092,positive,85
E10,E14,Education,Education,0.31156352345637156,0.31156352345637156,positive,87
E01,S07,Education,Society/Ethics,0.31116656971304346,0.31116656971304346,positive,86
E07,V09,Education,Environment,0.31114726934624204,0.31114726934624204,positive,85
E11,V14,Education,Environment,0.31095379150278785,0.31095379150278785,positive,85
S06,S07,Society/Ethics,Society/Ethics,0.3104294611164381,0.3104294611164381,positive,86
V02,V07,Environment,Environment,0.3099342935619342,0.3099342935619342,positive,84
E09,E10,Education,Education,0.3098269440658306,0.3098269440658306,positive,86
E10,V09,Education,Environment,0.3097520411679581,0.3097520411679581,positive,85
T11,V04,Technology,Environment,0.30858696183029216,0.30858696183029216,positive,84
E15,V03,Education,Environment,0.30825135258047326,0.30825135258047326,positive,86
V03,V07,Environment,Environment,0.30789200153118707,0.30789200153118707,positive,85
S10,S14,Society/Ethics,Society/Ethics,0.3078348285624698,0.3078348285624698,positive,81
S10,S11,Society/Ethics,Society/Ethics,0.30779935189334007,0.30779935189334007,positive,84
E12,E15,Education,Education,0.30731905977477825,0.30731905977477825,positive,87
S08,S09,Society/Ethics,Society/Ethics,0.30709156644228963,0.30709156644228963,positive,84
E11,V06,Education,Environment,0.30655211942953126,0.30655211942953126,positive,84
T11,S04,Technology,Society/Ethics,0.3061930911573918,0.3061930911573918,positive,85
E08,E11,Education,Education,0.3056485028570521,0.3056485028570521,positive,85
E03,E12,Education,Education,-0.3048636675891936,0.3048636675891936,negative,87
S10,V10,Society/Ethics,Environment,0.30445947645831833,0.30445947645831833,positive,82
E11,V04,Education,Environment,0.3044264558894022,0.3044264558894022,positive,86
S07,S14,Society/Ethics,Society/Ethics,0.3041298618379186,0.3041298618379186,positive,83
T07,V14,Technology,Environment,0.30367803597783244,0.30367803597783244,positive,85
T06,E10,Technology,Education,0.3034282230594168,0.3034282230594168,positive,87
T04,E14,Technology,Education,0.3031740517416,0.3031740517416,positive,87
S01,S08,Society/Ethics,Society/Ethics,0.30282584778996763,0.30282584778996763,positive,85
S11,V05,Society/Ethics,Environment,0.30277600637312585,0.30277600637312585,positive,86
S04,S10,Society/Ethics,Society/Ethics,0.3026983010301058,0.3026983010301058,positive,84
E12,S14,Education,Society/Ethics,0.302011472673959,0.302011472673959,positive,84
E12,S07,Education,Society/Ethics,0.30169911257542975,0.30169911257542975,positive,86
T10,T13,Technology,Technology,0.30152165566767697,0.30152165566767697,positive,89
T11,V02,Technology,Environment,0.30074056897875817,0.30074056897875817,positive,83
S09,V05,Society/Ethics,Environment,0.3001946704585598,0.3001946704585598,positive,84
