question_code,domain,question,valid_n,missing_n,mean,median,std_dev,agree_share
E11,Education,University curricula should be updated more frequently to match emerging technologies.,87,4,4.620689655172414,5.0,0.6332158475140235,0.9425287356321839
E12,Education,Artificial intelligence should be integrated into teaching and personalized learning.,87,4,3.9310344827586206,4.0,1.031967002450151,0.735632183908046
E13,Education,Universities should invest more resources in research than in expanding infrastructure.,85,6,3.3411764705882354,3.0,0.945577943407535,0.3764705882352941
E14,Education,Strong collaborations between universities and industry improve student education.,87,4,4.528735632183908,5.0,0.6961535593058393,0.9310344827586207
E15,Education,Continuous learning and skill development are essential throughout one's career.,87,4,4.712643678160919,5.0,0.503662077029308,0.9770114942528736
S01,Society/Ethics,Every individual has a responsibility to contribute positively to society.,86,5,4.27906976744186,4.0,0.9029515365888585,0.8837209302325582
S02,Society/Ethics,Universities should encourage students to participate in community service activities.,87,4,3.839080459770115,4.0,1.055148652796117,0.7241379310344828
S03,Society/Ethics,New technologies should be evaluated for their societal impact before widespread deployment.,87,4,4.264367816091954,4.0,0.8688373695727558,0.8735632183908046
S04,Society/Ethics,Technology companies should be accountable for unethical use of their platforms.,87,4,4.149425287356322,4.0,0.9945050847226276,0.8045977011494253
S05,Society/Ethics,Individuals should have greater control over how their personal data are collected and used.,87,4,4.632183908045977,5.0,0.5928830334610233,0.9425287356321839
S06,Society/Ethics,"Combating online misinformation requires shared responsibility among users, platforms, and governments.",87,4,4.390804597701149,5.0,0.8120648650784581,0.9080459770114943
S07,Society/Ethics,Equal opportunities should be prioritized regardless of a person's background.,86,5,4.430232558139535,5.0,0.7902449013463909,0.8837209302325582
S08,Society/Ethics,Diverse teams generally make better decisions than homogeneous teams.,86,5,3.9186046511627906,4.0,1.0083780369434259,0.6627906976744186
S09,Society/Ethics,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,85,6,4.470588235294118,5.0,0.5893546772311472,0.9529411764705882
S10,Society/Ethics,Scientific evidence should play an important role in public policy decisions.,84,7,4.25,4.0,0.7260223369393946,0.8571428571428571
S11,Society/Ethics,People should be free to express differing opinions as long as they do not promote harm or discrimination.,87,4,4.551724137931035,5.0,0.6053755453618962,0.9655172413793104
S12,Society/Ethics,Young people should actively participate in addressing societal challenges.,86,5,4.255813953488372,4.0,0.7849473045127509,0.8604651162790697
S13,Society/Ethics,Critical evaluation of online information should be taught as a core educational skill.,87,4,4.264367816091954,4.0,0.7227172581523301,0.8620689655172413
S14,Society/Ethics,Leaders should prioritize ethical decision-making even when it reduces short-term gains.,84,7,4.2976190476190474,4.0,0.7408845560652143,0.8571428571428571
S15,Society/Ethics,Building public trust is essential for responsible adoption of emerging technologies.,86,5,4.244186046511628,4.0,0.8668543063911558,0.8604651162790697
V01,Environment,Climate change requires immediate global action.,85,6,4.517647058823529,5.0,0.6289023829521663,0.9294117647058824
V02,Environment,Governments should prioritize investment in renewable energy over fossil fuels.,85,6,4.435294117647059,5.0,0.7310634592924236,0.9176470588235294
V03,Environment,Individuals should actively reduce their personal energy consumption.,86,5,3.9651162790697674,4.0,0.9260628160450488,0.7325581395348837
V04,Environment,Public transportation and non-motorized transport should be promoted even if they require additional public investment.,86,5,4.383720930232558,5.0,0.7222286529113776,0.8837209302325582
V05,Environment,Single-use plastics should be significantly restricted.,86,5,4.372093023255814,5.0,0.7977396247472786,0.9069767441860465
V06,Environment,"Water conservation should be a priority in households, institutions, and industries.",84,7,4.511904761904762,5.0,0.5909772918607984,0.9523809523809523
V07,Environment,Protecting biodiversity is essential for long-term human well-being.,85,6,4.4941176470588236,5.0,0.6835399701234028,0.9411764705882353
V08,Environment,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,85,6,4.294117647058823,4.0,0.7371684793497202,0.8823529411764706
V09,Environment,"Products should be designed to encourage reuse, repair, and recycling.",85,6,4.6,5.0,0.7104659772022196,0.9411764705882353
V10,Environment,Consumers should consider environmental impact when purchasing products.,85,6,4.035294117647059,4.0,0.8652973453087206,0.7529411764705882
V11,Environment,Technological innovation is essential for addressing environmental challenges.,84,7,4.321428571428571,4.0,0.6969937906711071,0.8928571428571429
V12,Environment,Environmental sustainability should be integrated into higher education curricula.,84,7,4.119047619047619,4.0,0.9236486306414519,0.8214285714285714
V13,Environment,Companies should be held accountable for the environmental impacts of their activities.,85,6,4.670588235294118,5.0,0.5645949937812069,0.9764705882352941
V14,Environment,International cooperation is necessary to effectively address environmental challenges.,85,6,4.552941176470588,5.0,0.6456057021813513,0.9411764705882353
V15,Environment,Current generations have a responsibility to protect natural resources for future generations.,85,6,4.5058823529411764,5.0,0.6291250426804921,0.9529411764705882
