question_code,domain,question,valid_n,missing_n,mean,median,std_dev,agree_share,community,degree,strength,positive_strength,negative_strength,betweenness,participation
S03,Society/Ethics,New technologies should be evaluated for their societal impact before widespread deployment.,87,4,4.264367816091954,4.0,0.8688373695727558,0.8735632183908046,3,11,4.128805490678762,4.128805490678762,0.0,0.0052600818234950315,0.38205488260696807
S04,Society/Ethics,Technology companies should be accountable for unethical use of their platforms.,87,4,4.149425287356322,4.0,0.9945050847226276,0.8045977011494253,3,9,3.254781831870635,3.254781831870635,0.0,0.0011689070718877848,0.4640596656389936
S05,Society/Ethics,Individuals should have greater control over how their personal data are collected and used.,87,4,4.632183908045977,5.0,0.5928830334610233,0.9425287356321839,1,4,1.5977195189538227,1.5977195189538227,0.0,0.0029222676797194622,0.3140929138124824
S06,Society/Ethics,"Combating online misinformation requires shared responsibility among users, platforms, and governments.",87,4,4.390804597701149,5.0,0.8120648650784581,0.9080459770114943,4,20,7.469458582629942,7.469458582629942,0.0,0.011689070718877849,0.5564369452187077
S07,Society/Ethics,Equal opportunities should be prioritized regardless of a person's background.,86,5,4.430232558139535,5.0,0.7902449013463909,0.8837209302325582,2,19,6.851795266405832,6.851795266405832,0.0,0.029807130333138514,0.6574947521446556
S08,Society/Ethics,Diverse teams generally make better decisions than homogeneous teams.,86,5,3.9186046511627906,4.0,1.0083780369434259,0.6627906976744186,3,2,0.6099174142322572,0.6099174142322572,0.0,0.0,0.0
S09,Society/Ethics,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,85,6,4.470588235294118,5.0,0.5893546772311472,0.9529411764705882,3,28,11.109035107926058,11.109035107926058,0.0,0.09117475160724722,0.611607223948722
S10,Society/Ethics,Scientific evidence should play an important role in public policy decisions.,84,7,4.25,4.0,0.7260223369393946,0.8571428571428571,3,12,4.34375754614468,4.34375754614468,0.0,0.02688486265341905,0.6484977418759401
S11,Society/Ethics,People should be free to express differing opinions as long as they do not promote harm or discrimination.,87,4,4.551724137931035,5.0,0.6053755453618962,0.9655172413793104,2,20,7.379001856237029,7.379001856237029,0.0,0.04208065458796025,0.6888962237721462
S12,Society/Ethics,Young people should actively participate in addressing societal challenges.,86,5,4.255813953488372,4.0,0.7849473045127509,0.8604651162790697,3,12,4.186177128394941,4.186177128394941,0.0,0.0011689070718877848,0.3781506073397989
S13,Society/Ethics,Critical evaluation of online information should be taught as a core educational skill.,87,4,4.264367816091954,4.0,0.7227172581523301,0.8620689655172413,3,18,6.882947281123994,6.882947281123994,0.0,0.04500292226767972,0.6615065713155062
S14,Society/Ethics,Leaders should prioritize ethical decision-making even when it reduces short-term gains.,84,7,4.2976190476190474,4.0,0.7408845560652143,0.8571428571428571,3,26,9.981787715904709,9.981787715904709,0.0,0.06838106370543541,0.6481288253296528
S15,Society/Ethics,Building public trust is essential for responsible adoption of emerging technologies.,86,5,4.244186046511628,4.0,0.8668543063911558,0.8604651162790697,3,17,6.377715554376047,6.377715554376047,0.0,0.037405026300409115,0.57703827313316
V01,Environment,Climate change requires immediate global action.,85,6,4.517647058823529,5.0,0.6289023829521663,0.9294117647058824,4,9,3.370434510154897,3.370434510154897,0.0,0.011689070718877849,0.5539988030616189
V02,Environment,Governments should prioritize investment in renewable energy over fossil fuels.,85,6,4.435294117647059,5.0,0.7310634592924236,0.9176470588235294,4,13,4.584087556818659,4.584087556818659,0.0,0.009351256575102279,0.6181733851079143
V03,Environment,Individuals should actively reduce their personal energy consumption.,86,5,3.9651162790697674,4.0,0.9260628160450488,0.7325581395348837,4,17,6.393168173234898,6.393168173234898,0.0,0.007597895967270602,0.550400323212878
V04,Environment,Public transportation and non-motorized transport should be promoted even if they require additional public investment.,86,5,4.383720930232558,5.0,0.7222286529113776,0.8837209302325582,4,22,8.0207620417905,8.0207620417905,0.0,0.0023378141437755697,0.4957542099979533
V05,Environment,Single-use plastics should be significantly restricted.,86,5,4.372093023255814,5.0,0.7977396247472786,0.9069767441860465,4,16,6.062848143311998,6.062848143311998,0.0,0.0023378141437755697,0.4395389827494346
V06,Environment,"Water conservation should be a priority in households, institutions, and industries.",84,7,4.511904761904762,5.0,0.5909772918607984,0.9523809523809523,4,17,6.656661846598003,6.656661846598003,0.0,0.0029222676797194622,0.4643274274635645
V07,Environment,Protecting biodiversity is essential for long-term human well-being.,85,6,4.4941176470588236,5.0,0.6835399701234028,0.9411764705882353,4,23,9.70733521289567,9.70733521289567,0.0,0.05727644652250146,0.5934506471611114
V08,Environment,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,85,6,4.294117647058823,4.0,0.7371684793497202,0.8823529411764706,4,22,9.003042008006888,9.003042008006888,0.0,0.01636469900642899,0.5440675682712719
V09,Environment,"Products should be designed to encourage reuse, repair, and recycling.",85,6,4.6,5.0,0.7104659772022196,0.9411764705882353,4,19,7.213692829986487,7.213692829986487,0.0,0.04850964348334307,0.6131369183946761
V10,Environment,Consumers should consider environmental impact when purchasing products.,85,6,4.035294117647059,4.0,0.8652973453087206,0.7529411764705882,4,22,8.917218907899898,8.917218907899898,0.0,0.01928696668614845,0.5768710698870139
V11,Environment,Technological innovation is essential for addressing environmental challenges.,84,7,4.321428571428571,4.0,0.6969937906711071,0.8928571428571429,4,14,5.029391001126848,5.029391001126848,0.0,0.004675628287551139,0.4999883789590672
V12,Environment,Environmental sustainability should be integrated into higher education curricula.,84,7,4.119047619047619,4.0,0.9236486306414519,0.8214285714285714,4,21,8.474782032430488,8.474782032430488,0.0,0.010520163646990063,0.503142493338862
V13,Environment,Companies should be held accountable for the environmental impacts of their activities.,85,6,4.670588235294118,5.0,0.5645949937812069,0.9764705882352941,4,17,6.890421628314381,6.890421628314381,0.0,0.02630040911747516,0.4129610530764217
V14,Environment,International cooperation is necessary to effectively address environmental challenges.,85,6,4.552941176470588,5.0,0.6456057021813513,0.9411764705882353,4,22,8.340603558064663,8.340603558064663,0.0,0.03331385154880187,0.6192362396912613
V15,Environment,Current generations have a responsibility to protect natural resources for future generations.,85,6,4.5058823529411764,5.0,0.6291250426804921,0.9529411764705882,4,25,9.330234773312135,9.330234773312135,0.0,0.039742840444184684,0.6584206851857191
